OBJECTID,Country,Feature Description,Feature Name,Controlled Unclassified Information Indicator,Is FIRRMA Site,Is Joint Base,Media Identifier,Primary Key Identifier,Globally Unique Identifier,Site Name,Site Operational Status,Site Reporting Component Code,State Name Code,Shape__Area,Shape__Length
291,usa,na,NG Knightstown,no,no,no,na, ,db91c80e-ed4b-487c-9ec3-281809a87fb0,NG Knightstown,act,armyNationalGuard,in,0.000164873695666756,0.0690334787038318
292,usa,na,Fort Bragg,no,yes,no,na, ,612f193c-193e-450f-8fc1-7c1c5b3c1bb1,Fort Bragg,act,usa,nc,0.0620066869901957,1.95935440329765
293,usa,na,March ARB,no,no,no,na, ,7ac55f2d-df6f-4d09-984f-70783e56edff,March ARB,act,afr,ca,0.00271477533237885,0.414166062209564
294,usa,na,Tinker Air Force Base,no,yes,no,na, ,98ea3dbd-81ac-4ed4-a08e-05ce34b2df9f,Tinker Air Force Base,act,usaf,ok,0.00228005983331059,0.353714501162648
295,usa,na,Dover Air Force Base,no,yes,no,na, ,09d6cb45-c42e-4005-ad6c-626b186768c6,Dover Air Force Base,act,usaf,de,0.00133491486834827,0.302734894766448
296,usa,na,Schriever Space Force Base,no,yes,no,na, ,e6b201fa-7887-4f11-9511-3720e05df1f3,Schriever Space Force Base,act,usaf,co,0.0022755670377137,0.201794816933357
298,usa,na,Minn-St Paul,no,no,no,na, ,44d48253-5183-4a17-9ff1-634dc9b7facf,Minn-St Paul,act,afr,mn,0.000128071725612244,0.0871328495672086
299,usa,na,Dobbins ARB,no,no,no,na, ,e43707a6-78ce-47c7-a5b8-a2e10332439e,Dobbins ARB,act,afr,ga,0.000996270892301254,0.207595489390146
300,usa,na,McGhee Tyson Airport,no,no,no,na, ,979bb67b-2618-4d55-90ad-49a5693ab151,McGhee Tyson Airport,act,airNationalGuard,tn,0.000147649755789857,0.0796314559995688
301,usa,na,Keesler AFB,no,no,no,na, ,334ed856-c6ee-47c8-b396-a92d2aa86719,Keesler AFB,act,usaf,ms,0.00057770625580207,0.196320185793448
302,usa,na,Dyess Air Force Base,no,yes,no,na, ,5c996b7c-a1e7-458c-8123-d7d95c55ebcb,Dyess Air Force Base,act,usaf,tx,0.00208231589203933,0.240632715021148
303,usa,na,Westover ARB,no,no,no,na, ,fa237e2c-3747-47b8-b59a-44f17eeeb7ee,Westover ARB,act,afr,ma,0.00105305961665181,0.209788225902375
305,usa,na,Grissom ARB,no,no,no,na, ,03c93045-001f-4d4a-98e1-c4e7b6ba51fa,Grissom ARB,act,afr,in,0.00116918580420133,0.223613539969872
307,usa,na,Maxwell-Gunter Air Force Base,no,yes,no,na, ,3749b083-68d5-44f6-a458-19fccebd6c7a,Maxwell-Gunter Air Force Base,act,usaf,al,0.00101537678506247,0.252841755367205
308,usa,na,Moody Air Force Base,no,yes,no,na, ,157bdbad-24e0-4f6a-bb9f-ae36c6eacf0d,Moody Air Force Base,act,usaf,ga,0.00423022028712694,0.413875218483416
309,usa,na,Whiteman Air Force Base,no,yes,no,na, ,2c27b8a2-31e4-4255-9dd4-3ff8212cadba,Whiteman Air Force Base,act,usaf,mo,0.00220246652224887,0.295822745867508
310,usa,na,Hanscom Air Force Base,no,yes,no,na, ,67f2a8aa-14e4-4fa1-a63c-f9e5ebedc243,Hanscom Air Force Base,act,usaf,ma,0.000343977526654271,0.114791736915024
311,usa,na,Wright-Patterson Air Force Base,no,yes,no,na, ,e5bd8b01-78f2-4ba3-a9f6-8b31b0ab18de,Wright-Patterson Air Force Base,act,usaf,oh,0.00222483046127309,0.251926503243799
312,usa,na,McConnell AFB,no,no,no,na, ,0f28e5aa-c092-45a6-b55e-b771a87a84c2,McConnell AFB,act,usaf,ks,0.00573375988756197,0.304782829703907
313,usa,na,Barksdale Air Force Base,no,yes,no,na, ,912340d1-ee2c-4f39-8a07-38075863d6a8,Barksdale Air Force Base,act,usaf,la,0.008522110852482,0.483032903274474
314,usa,na,Little Rock Air Force Base,no,yes,no,na, ,63a3e6a3-39b4-46f0-bfa4-ede34cf6d158,Little Rock Air Force Base,act,usaf,ar,0.0024821138133575,0.247370123365609
315,usa,na,Sheppard AFB,no,no,no,na, ,d8d12f68-6321-44c7-8bd1-afcda0dbcd4e,Sheppard AFB,act,usaf,tx,0.00182148208227773,0.225890321084363
316,usa,na,Laughlin AFB,no,yes,no,na, ,bcd63136-38d1-4f59-9530-240ac980b247,Laughlin AFB,act,usaf,tx,0.00168745451992436,0.26657507950894
319,usa,na,Hill Air Force Base,no,yes,no,na, ,1a745541-cd54-49a6-aab7-167c3ae54621,Hill Air Force Base,act,usaf,ut,0.00287839070688278,0.312344406887761
320,usa,na,Joint Base San Antonio,no,yes,yes,na, ,b1c9f656-b853-4ff0-b1d2-6e04f5ca0c59,Joint Base San Antonio,act,usaf,tx,0.0167311378556371,1.81819184293332
321,usa,na,USAF Academy Auxiliary Airfield,no,no,no,na, ,e6db7e58-89ee-4811-87f9-573ccd6dd617,USAF Academy Auxiliary Airfield,act,usaf,co,8.23563118501625E-05,0.100002189811131
324,usa,na,Eglin Air Force Base,no,yes,no,na, ,ca5be2c9-00e1-432f-953c-618eca04cb84,Eglin Air Force Base,act,usaf,fl,0.172955966057345,3.57095729843522
326,usa,na,Tyndall Air Force Base,no,yes,no,na, ,36667962-6fd6-46c4-9fe4-5867b19560b0,Tyndall Air Force Base,act,usaf,fl,0.0110144306663642,1.9128275947826
